SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,TEST_SUBJECT,TEST_RESULT,GROUP_BY,GROUP_BY_VALUE,STUDENT_COUNT,AVERAGE_SCORE,GROUP_COUNT
2013-14,School District,10,Clark,7,,[All],No,Abbotsford,[Districtwide],Composite,Not benchmarked,All Students,All Students,21,20.14,21
2013-14,School District,5,Adams,14,,[All],No,Adams-Friendship Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,60,18.93,60
2013-14,School District,2,Green,63,,[All],No,Albany,[Districtwide],Composite,Not benchmarked,All Students,All Students,9,21,9
2013-14,School District,7,Kewaunee,70,,[All],No,Algoma,[Districtwide],Composite,Not benchmarked,All Students,All Students,22,22.82,22
2013-14,School District,4,Buffalo,84,,[All],No,Alma,[Districtwide],Composite,Not benchmarked,All Students,All Students,12,22.58,12
2013-14,School District,4,Jackson,91,,[All],No,Alma Center,[Districtwide],Composite,Not benchmarked,All Students,All Students,22,21.55,22
2013-14,School District,5,Portage,105,,[All],No,Almond-Bancroft,[Districtwide],Composite,Not benchmarked,All Students,All Students,19,22.05,19
2013-14,School District,10,Eau Claire,112,,[All],No,Altoona,[Districtwide],Composite,Not benchmarked,All Students,All Students,77,23.55,77
2013-14,School District,11,Polk,119,,[All],No,Amery,[Districtwide],Composite,Not benchmarked,All Students,All Students,95,22.14,95
2013-14,School District,9,Langlade,140,,[All],No,Antigo Unified,[Districtwide],Composite,Not benchmarked,All Students,All Students,106,22.16,106
2013-14,School District,6,Outagamie,147,,[All],No,Appleton Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,714,23.3,714
2013-14,School District,4,Trempealeau,154,,[All],No,Arcadia,[Districtwide],Composite,Not benchmarked,All Students,All Students,53,22.08,53
2013-14,School District,3,Lafayette,161,,[All],No,Argyle,[Districtwide],Composite,Not benchmarked,All Students,All Students,14,22.64,14
2013-14,School District,1,Waukesha,2450,,[All],No,Arrowhead UHS,[Districtwide],Composite,Not benchmarked,All Students,All Students,472,24.75,472
2013-14,School District,12,Ashland,170,,[All],No,Ashland,[Districtwide],Composite,Not benchmarked,All Students,All Students,99,21.82,99
2013-14,School District,7,Brown,182,,[All],No,Ashwaubenon,[Districtwide],Composite,Not benchmarked,All Students,All Students,160,23.59,160
2013-14,School District,9,Marathon,196,,[All],No,Athens,[Districtwide],Composite,Not benchmarked,All Students,All Students,25,22.56,25
2013-14,School District,5,Wood,203,,[All],No,Auburndale,[Districtwide],Composite,Not benchmarked,All Students,All Students,38,21.74,38
2013-14,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],Composite,Not benchmarked,All Students,All Students,21,20.48,21
2013-14,School District,11,Saint Croix,231,,[All],No,Baldwin-Woodville Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,79,22.14,79
2013-14,School District,4,La Crosse,245,,[All],No,Bangor,[Districtwide],Composite,Not benchmarked,All Students,All Students,24,22.33,24
2013-14,School District,5,Sauk,280,,[All],No,Baraboo,[Districtwide],Composite,Not benchmarked,All Students,All Students,140,22.31,140
2013-14,School District,3,Iowa,287,,[All],No,Barneveld,[Districtwide],Composite,Not benchmarked,All Students,All Students,24,21.33,24
2013-14,School District,11,Barron,308,,[All],No,Barron Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,54,20.54,54
2013-14,School District,12,Bayfield,315,,[All],No,Bayfield,[Districtwide],Composite,Not benchmarked,All Students,All Students,15,20.27,15
2013-14,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],Composite,Not benchmarked,All Students,All Students,121,22.87,121
2013-14,School District,8,Marinette,4263,,[All],No,Beecher-Dunbar-Pembine,[Districtwide],Composite,Not benchmarked,All Students,All Students,10,21.3,10
2013-14,School District,2,Dane,350,,[All],No,Belleville,[Districtwide],Composite,Not benchmarked,All Students,All Students,45,23.4,45
2013-14,School District,3,Lafayette,364,,[All],No,Belmont Community,[Districtwide],Composite,Not benchmarked,All Students,All Students,10,20,10
2013-14,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],Composite,Not benchmarked,All Students,All Students,199,19.57,199
2013-14,School District,2,Rock,422,,[All],No,Beloit Turner,[Districtwide],Composite,Not benchmarked,All Students,All Students,59,22.39,59
2013-14,School District,3,Lafayette,427,,[All],No,Benton,[Districtwide],Composite,Not benchmarked,All Students,All Students,14,22.43,14
2013-14,School District,6,Green Lake,434,,[All],No,Berlin Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,57,21.58,57
2013-14,School District,2,Walworth,6013,,[All],No,Big Foot UHS,[Districtwide],Composite,Not benchmarked,All Students,All Students,85,22.09,85
2013-14,School District,11,Washburn,441,,[All],No,Birchwood,[Districtwide],Composite,Not benchmarked,All Students,All Students,15,22.13,15
2013-14,School District,3,Lafayette,2240,,[All],No,Black Hawk,[Districtwide],Composite,Not benchmarked,All Students,All Students,23,21,23
2013-14,School District,4,Jackson,476,,[All],No,Black River Falls,[Districtwide],Composite,Not benchmarked,All Students,All Students,69,21.65,69
2013-14,School District,4,Trempealeau,485,,[All],No,Blair-Taylor,[Districtwide],Composite,Not benchmarked,All Students,All Students,25,22.2,25
2013-14,School District,10,Chippewa,497,,[All],No,Bloomer,[Districtwide],Composite,Not benchmarked,All Students,All Students,48,22.33,48
2013-14,School District,8,Shawano,602,,[All],No,Bonduel,[Districtwide],Composite,Not benchmarked,All Students,All Students,34,22.41,34
2013-14,School District,3,Grant,609,,[All],No,Boscobel Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,32,21.19,32
2013-14,School District,8,Shawano,623,,[All],No,Bowler,[Districtwide],Composite,Not benchmarked,All Students,All Students,8,20,8
2013-14,School District,11,Dunn,637,,[All],No,Boyceville Community,[Districtwide],Composite,Not benchmarked,All Students,All Students,24,22.54,24
2013-14,School District,7,Calumet,658,,[All],No,Brillion,[Districtwide],Composite,Not benchmarked,All Students,All Students,52,22.94,52
2013-14,School District,2,Green,700,,[All],No,Brodhead,[Districtwide],Composite,Not benchmarked,All Students,All Students,43,21.19,43
2013-14,School District,1,Milwaukee,721,,[All],No,Brown Deer,[Districtwide],Composite,Not benchmarked,All Students,All Students,99,19.76,99
2013-14,School District,10,Rusk,735,,[All],No,Bruce,[Districtwide],Composite,Not benchmarked,All Students,All Students,22,20.5,22
2013-14,School District,2,Racine,777,,[All],No,Burlington Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,169,22.3,169
2013-14,School District,12,Ashland,840,,[All],No,Butternut,[Districtwide],Composite,*,All Students,[Data Suppressed],*,*,*
2013-14,School District,10,Chippewa,870,,[All],No,Cadott Community,[Districtwide],Composite,Not benchmarked,All Students,All Students,24,24.21,24
2013-14,School District,5,Columbia,882,,[All],No,Cambria-Friesland,[Districtwide],Composite,Not benchmarked,All Students,All Students,14,20.21,14
2013-14,School District,2,Dane,896,,[All],No,Cambridge,[Districtwide],Composite,Not benchmarked,All Students,All Students,49,22.27,49
2013-14,School District,11,Barron,903,,[All],No,Cameron,[Districtwide],Composite,Not benchmarked,All Students,All Students,47,21.49,47
2013-14,School District,6,Fond du Lac,910,,[All],No,Campbellsport,[Districtwide],Composite,Not benchmarked,All Students,All Students,66,21.67,66
2013-14,School District,4,Monroe,980,,[All],No,Cashton,[Districtwide],Composite,Not benchmarked,All Students,All Students,23,22.48,23
2013-14,School District,3,Grant,994,,[All],No,Cassville,[Districtwide],Composite,Not benchmarked,All Students,All Students,9,22.89,9
2013-14,School District,7,Sheboygan,1029,,[All],No,Cedar Grove-Belgium Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,53,22.7,53
2013-14,School District,1,Ozaukee,1015,,[All],No,Cedarburg,[Districtwide],Composite,Not benchmarked,All Students,All Students,241,25.27,241
2013-14,School District,2,Kenosha,5054,,[All],No,Central/Westosha UHS,[Districtwide],Composite,Not benchmarked,All Students,All Students,207,22.92,207
2013-14,School District,12,Price,1071,,[All],No,Chequamegon,[Districtwide],Composite,Not benchmarked,All Students,All Students,32,22.28,32
2013-14,School District,11,Barron,1080,,[All],No,Chetek-Weyerhaeuser Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,48,22.21,48
2013-14,School District,7,Calumet,1085,,[All],No,Chilton,[Districtwide],Composite,Not benchmarked,All Students,All Students,59,23.07,59
2013-14,School District,10,Chippewa,1092,,[All],No,Chippewa Falls Area Unified,[Districtwide],Composite,Not benchmarked,All Students,All Students,196,22.92,196
2013-14,School District,11,Polk,1120,,[All],No,Clayton,[Districtwide],Composite,Not benchmarked,All Students,All Students,15,21.87,15
2013-14,School District,11,Polk,1127,,[All],No,Clear Lake,[Districtwide],Composite,Not benchmarked,All Students,All Students,17,20.88,17
2013-14,School District,2,Rock,1134,,[All],No,Clinton Community,[Districtwide],Composite,Not benchmarked,All Students,All Students,58,22.22,58
2013-14,School District,8,Waupaca,1141,,[All],No,Clintonville,[Districtwide],Composite,Not benchmarked,All Students,All Students,50,22.04,50
2013-14,School District,4,Buffalo,1155,,[All],No,Cochrane-Fountain City,[Districtwide],Composite,Not benchmarked,All Students,All Students,32,22.59,32
2013-14,School District,10,Clark,1162,,[All],No,Colby,[Districtwide],Composite,Not benchmarked,All Students,All Students,47,22.96,47
2013-14,School District,8,Marinette,1169,,[All],No,Coleman,[Districtwide],Composite,Not benchmarked,All Students,All Students,31,20.84,31
2013-14,School District,11,Dunn,1176,,[All],No,Colfax,[Districtwide],Composite,Not benchmarked,All Students,All Students,31,22.52,31
2013-14,School District,5,Columbia,1183,,[All],No,Columbus,[Districtwide],Composite,Not benchmarked,All Students,All Students,71,22.96,71
2013-14,School District,10,Chippewa,1204,,[All],No,Cornell,[Districtwide],Composite,Not benchmarked,All Students,All Students,17,21.41,17
2013-14,School District,8,Forest,1218,,[All],No,Crandon,[Districtwide],Composite,Not benchmarked,All Students,All Students,25,20.16,25
2013-14,School District,8,Marinette,1232,,[All],No,Crivitz,[Districtwide],Composite,Not benchmarked,All Students,All Students,20,22.4,20
2013-14,School District,3,Grant,1246,,[All],No,Cuba City,[Districtwide],Composite,Not benchmarked,All Students,All Students,33,22.15,33
2013-14,School District,1,Milwaukee,1253,,[All],No,Cudahy,[Districtwide],Composite,Not benchmarked,All Students,All Students,84,20.15,84
2013-14,School District,11,Barron,1260,,[All],No,Cumberland,[Districtwide],Composite,Not benchmarked,All Students,All Students,44,22.43,44
2013-14,School District,9,Marathon,4970,,[All],No,D C Everest Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,312,22.82,312
2013-14,School District,3,Lafayette,1295,,[All],No,Darlington Community,[Districtwide],Composite,Not benchmarked,All Students,All Students,37,21.54,37
2013-14,School District,2,Dane,1316,,[All],No,De Forest Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,159,23.6,159
2013-14,School District,7,Brown,1414,,[All],No,De Pere,[Districtwide],Composite,Not benchmarked,All Students,All Students,232,23.67,232
2013-14,School District,4,Vernon,1421,,[All],No,De Soto Area,[Districtwide],Composite,Not benchmarked,All Students,All Students,32,21.78,32
2013-14,School District,2,Dane,1309,,[All],No,Deerfield Community,[Districtwide],Composite,Not benchmarked,All Students,All Students,55,23.27,55
2013-14,School District,2,Walworth,1380,,[All],No,Delavan-Darien,[Districtwide],Composite,Not benchmarked,All Students,All Students,121,19.92,121
2013-14,School District,7,Brown,1407,,[All],No,Denmark,[Districtwide],Composite,Not benchmarked,All Students,All Students,72,21.36,72
2013-14,School District,6,Dodge,2744,,[All],No,Dodgeland,[Districtwide],Composite,Not benchmarked,All Students,All Students,31,22.42,31
2013-14,School District,3,Iowa,1428,,[All],No,Dodgeville,[Districtwide],Composite,Not benchmarked,All Students,All Students,84,23.67,84
