Dist Code,District Name,Org Level,CESA,Cty Code,County Name,Days of Instruction,Actual Days of Attandance,Possible Days of Attandance,ADA,ADM,Percentage Attendance
0007,Abbotsford,D,10,10,Clark,180,125416,129736,696.76,720.76,0.966701609
0014,Adams-Friendship Area,D,05,01,Adams,173,258925.5,276222,1496.68,1596.66,0.937381888
0063,Albany,D,02,23,Green,180,64739.5,67553,359.66,375.29,0.958351221
0070,Algoma,D,07,31,Kewaunee,177,112962.5,118235,638.21,667.99,0.955406605
0084,Alma,D,04,06,Buffalo,172,41946,43641,243.87,253.73,0.961160377
0091,Alma Center,D,04,27,Jackson,175,103958.5,108757,594.05,621.47,0.955878702
0105,Almond-Bancroft,D,05,49,Portage,176,72689,72862,413.01,413.99,0.997625648
0112,Altoona,D,10,18,Eau Claire,173,252081.5,262216.5,1457.12,1515.7,0.961348733
0119,Amery,D,11,48,Polk,173,252600,266131,1460.12,1538.33,0.949156618
0126,Tomorrow River,D,05,49,Portage,176,177298,181366.5,1007.38,1030.49,0.977567522
0140,Antigo Unified,D,09,34,Langlade,170,379769,399979.5,2233.94,2352.82,0.94947116
0147,Appleton Area,D,06,44,Outagamie,177,2785689.5,2889918,15738.36,16327.22,0.963933752
0154,Arcadia,D,04,61,Trempealeau,173,198869,208287,1149.53,1203.97,0.954783544
0161,Argyle,D,03,33,Lafayette,178,54523,56655,306.31,318.29,0.962368723
0170,Ashland,D,12,02,Ashland,182,366029,394405,2011.15,2167.06,0.92805365
0182,Ashwaubenon,D,07,05,Brown,178,562090.5,588533,3157.81,3306.37,0.955070489
0196,Athens,D,09,37,Marathon,176,72250,75280,410.51,427.73,0.959750266
0203,Auburndale,D,05,71,Wood,175,147225,152892,841.29,873.67,0.962934621
0217,Augusta,D,10,18,Eau Claire,175,112814.5,117092,644.65,669.1,0.963468896
0231,Baldwin-Woodville Area,D,11,55,Saint Croix,176,281915.5,292339,1601.79,1661.02,0.964344477
0238,Unity,D,11,48,Polk,173,161283.5,170718,932.27,986.81,0.944736349
0245,Bangor,D,04,32,La Crosse,175,90385.5,93943,516.49,536.82,0.962131292
0280,Baraboo,D,05,56,Sauk,175,506093.5,536070.5,2891.96,3063.26,0.944080116
0287,Barneveld,D,03,25,Iowa,175,76065,80079,434.66,457.59,0.949874499
0308,Barron Area,D,11,03,Barron,176,220524,231869.5,1252.98,1317.44,0.951069459
0315,Bayfield,D,12,04,Bayfield,173,59150,66131,341.91,382.26,0.8944368
0336,Beaver Dam Unified,D,06,14,Dodge,175,611682,635978,3495.33,3634.16,0.961797421
0350,Belleville,D,02,13,Dane,175,166176,171725,949.58,981.29,0.967686708
0364,Belmont Community,D,03,33,Lafayette,175,61691,64720.5,352.52,369.83,0.953191029
0413,Beloit,D,02,53,Rock,175,1145830.5,1237313.5,6547.6,7070.36,0.926063201
0422,Beloit Turner,D,02,53,Rock,175,248626.5,256995,1420.72,1468.54,0.96743711
0427,Benton,D,03,33,Lafayette,176,41623,42873,236.49,243.6,0.970844121
0434,Berlin Area,D,06,24,Green Lake,176,274961,289584.5,1562.28,1645.37,0.949501786
0441,Birchwood,D,11,65,Washburn,175,58909.5,61187,336.63,349.64,0.962778041
0469,Wisconsin Heights,D,02,13,Dane,175,119110,125061,680.63,714.63,0.952415221
0476,Black River Falls,D,04,27,Jackson,178,297203,313094,1669.68,1758.96,0.949245275
0485,Blair-Taylor,D,04,61,Trempealeau,173,98238.5,104004,567.85,601.18,0.944564632
0490,Pecatonica Area,D,03,33,Lafayette,175,67848,70732,387.7,404.18,0.959226376
0497,Bloomer,D,10,09,Chippewa,174,185899.5,193862,1068.39,1114.15,0.958926969
0602,Bonduel,D,08,58,Shawano,180,145171,150371,806.51,835.39,0.965418864
0609,Boscobel Area,D,03,22,Grant,172,140981.5,144902,819.66,842.45,0.972943783
0623,Bowler,D,08,58,Shawano,176,64041,66539,363.87,378.06,0.962458107
0637,Boyceville Community,D,11,17,Dunn,175,121845,127863,696.26,730.65,0.952934
0658,Brillion,D,07,08,Calumet,176,167022,169778,948.99,964.65,0.983767037
0700,Brodhead,D,02,23,Green,175,177384,182456,1013.62,1042.61,0.972201517
0714,Elmbrook,D,01,67,Waukesha,180,1187622.5,1234307.5,6597.9,6857.26,0.962177172
0721,Brown Deer,D,01,40,Milwaukee,177,279128.5,290719,1577,1642.48,0.960131605
0735,Bruce,D,10,54,Rusk,175,79980,84621,457.03,483.55,0.945155458
0777,Burlington Area,D,02,51,Racine,176,521001,553627,2960.23,3145.61,0.941068626
0840,Butternut,D,12,02,Ashland,175,30426.5,33812,173.87,193.21,0.899872826
0870,Cadott Community,D,10,09,Chippewa,173,139910.5,146048,808.73,844.21,0.957976145
0882,Cambria-Friesland,D,05,11,Columbia,176,62178,65759.5,353.28,373.63,0.945536386
0896,Cambridge,D,02,13,Dane,174,154997,162101,890.79,931.61,0.956175471
0903,Cameron,D,11,03,Barron,176,183389,194279,1041.98,1103.86,0.943946592
0910,Campbellsport,D,06,20,Fond du Lac,177,232514,241228,1313.64,1362.87,0.963876499
0980,Cashton,D,04,41,Monroe,177,93703.5,96441,529.4,544.86,0.97161477
0994,Cassville,D,03,22,Grant,178,32990,33976,185.34,190.88,0.970979515
1015,Cedarburg,D,01,45,Ozaukee,178,515102,540513,2893.83,3036.59,0.952987255
1029,Cedar Grove-Belgium Area,D,07,59,Sheboygan,179,188817.5,196232,1054.85,1096.27,0.962215643
1071,Chequamegon,D,12,50,Price,174,119373.5,126185,686.05,725.2,0.946019733
1080,Chetek-Weyerhaeuser Area,D,11,03,Barron,175,154103,161145.5,880.59,920.83,0.956297259
